,date,household,household_io(mom),household(mom),pop_density,pop(mom),area,men,women,total,size
751,2016-05-01,75480,303.0,,12136.36364,125072,北区,64900,60590,125490,10.34
752,2016-05-01,52281,213.0,,17310.526319999994,105013,都島区,54458,50790,105248,6.08
753,2016-05-01,38033,75.0,,15639.82869,72960,福島区,38635,34403,73038,4.67
754,2016-05-01,30860,60.0,,3450.805195000001,66445,此花区,33964,32464,66428,19.25
755,2016-05-01,60389,317.0,,10694.13754,94365,中央区,50552,44305,94857,8.87
756,2016-05-01,53691,487.0,,18177.92706,93937,西区,50087,44620,94707,5.21
757,2016-05-01,40469,34.0,,10409.92366,81878,港区,41851,39971,81822,7.86
758,2016-05-01,29225,32.0,,6859.278897,64738,大正区,33134,31549,64683,9.43
759,2016-05-01,38707,202.0,,15854.13223,76422,天王寺区,41065,35669,76734,4.84
760,2016-05-01,48560,246.0,,16161.959,70715,浪速区,34896,36055,70951,4.39
761,2016-05-01,43217,145.0,,6708.0872009999985,95279,西淀川区,48492,46897,95389,14.22
762,2016-05-01,95720,483.0,,14018.59177,176700,淀川区,89445,87750,177195,12.64
763,2016-05-01,93749,294.0,,13253.27807,175675,東淀川区,89310,86561,175871,13.27
764,2016-05-01,40040,161.0,,17770.04405,80538,東成区,42123,38553,80676,4.54
765,2016-05-01,64196,444.0,,15527.35962,129650,生野区,67378,62586,129964,8.37
766,2016-05-01,43853,145.0,,14489.55696,91470,旭区,47925,43649,91574,6.32
767,2016-05-01,77233,204.0,,19704.65394,165007,城東区,86531,78594,165125,8.38
768,2016-05-01,46554,50.0,,13643.57405,111473,鶴見区,58076,53392,111468,8.17
769,2016-05-01,50599,250.0,,18097.49164,107985,阿倍野区,58359,49864,108223,5.98
770,2016-05-01,57196,99.0,,5938.379427000002,122391,住之江区,63604,58786,122390,20.61
771,2016-05-01,71885,208.0,,16368.08511,153651,住吉区,81984,71876,153860,9.4
772,2016-05-01,58102,181.0,,12946.5641,126091,東住吉区,66776,59453,126229,9.75
773,2016-05-01,89373,115.0,,12824.67277,196058,平野区,103076,92885,195961,15.28
774,2016-05-01,69191,257.0,,15099.18589,111097,西成区,47026,64255,111281,7.37
775,2016-04-01,1363598,5134.0,,11964.87723,2692845,大阪市,1391293,1303317,2694610,225.21
776,2016-04-01,75177,365.0,,12095.9381,124749,北区,64674,60398,125072,10.34
777,2016-04-01,52068,325.0,,17271.875,104831,都島区,54384,50629,105013,6.08
778,2016-04-01,37958,294.0,,15623.12634,72706,福島区,38592,34368,72960,4.67
779,2016-04-01,30800,48.0,,3451.688312,66517,此花区,33982,32463,66445,19.25
780,2016-04-01,60072,513.0,,10638.66967,93765,中央区,50282,44083,94365,8.87
781,2016-04-01,53204,496.0,,18030.13436,93275,西区,49684,44253,93937,5.21
782,2016-04-01,40435,86.0,,10417.04835,81915,港区,41878,40000,81878,7.86
783,2016-04-01,29193,47.0,,6865.111347,64828,大正区,33173,31565,64738,9.43
784,2016-04-01,38505,45.0,,15789.669419999998,76390,天王寺区,40889,35533,76422,4.84
785,2016-04-01,48314,142.0,,16108.20046,70648,浪速区,34738,35977,70715,4.39
786,2016-04-01,43072,130.0,,6700.351617,95357,西淀川区,48429,46850,95279,14.22
787,2016-04-01,95237,657.0,,13979.430380000002,176210,淀川区,89255,87445,176700,12.64
788,2016-04-01,93455,590.0,,13238.50791,175464,東淀川区,89209,86466,175675,13.27
789,2016-04-01,39879,166.0,,17739.64758,80507,東成区,42044,38494,80538,4.54
790,2016-04-01,63752,162.0,,15489.844680000002,129709,生野区,67220,62430,129650,8.37
791,2016-04-01,43708,135.0,,14473.10127,91442,旭区,47847,43623,91470,6.32
792,2016-04-01,77029,269.0,,19690.57279,164958,城東区,86454,78553,165007,8.38
793,2016-04-01,46504,114.0,,13644.18605,111484,鶴見区,58077,53396,111473,8.17
794,2016-04-01,50349,28.0,,18057.69231,108063,阿倍野区,58246,49739,107985,5.98
795,2016-04-01,57097,118.0,,5938.427948,122591,住之江区,63591,58800,122391,20.61
796,2016-04-01,71677,171.0,,16345.85106,153695,住吉区,81899,71752,153651,9.4
797,2016-04-01,57921,94.0,,12932.41026,126138,東住吉区,66712,59379,126091,9.75
798,2016-04-01,89258,173.0,,12831.02094,196336,平野区,103093,92965,196058,15.28
799,2016-04-01,68934,-34.0,,15074.21981,111267,西成区,46941,64156,111097,7.37
800,2016-03-01,1358464,677.0,,11957.0401,2693201,大阪市,1389722,1303123,2692845,225.21
801,2016-03-01,74812,195.0,,12064.70019,124482,北区,64419,60330,124749,10.34
802,2016-03-01,51743,96.0,,17241.94079,104726,都島区,54251,50580,104831,6.08
803,2016-03-01,37664,33.0,,15568.73662,72667,福島区,38452,34254,72706,4.67
804,2016-03-01,30752,36.0,,3455.428571,66523,此花区,34017,32500,66517,19.25
805,2016-03-01,59559,53.0,,10571.02593,93713,中央区,49926,43839,93765,8.87
806,2016-03-01,52708,109.0,,17903.07102,93147,西区,49309,43966,93275,5.21
807,2016-03-01,40349,37.0,,10421.75573,81932,港区,41869,40046,81915,7.86
808,2016-03-01,29146,0.0,,6874.655355,64913,大正区,33204,31624,64828,9.43
809,2016-03-01,38460,63.0,,15783.05785,76319,天王寺区,40828,35562,76390,4.84
810,2016-03-01,48172,50.0,,16092.9385,70618,浪速区,34762,35886,70648,4.39
811,2016-03-01,42942,20.0,,6705.83685,95369,西淀川区,48469,46888,95357,14.22
812,2016-03-01,94580,-19.0,,13940.66456,176328,淀川区,88936,87274,176210,12.64
813,2016-03-01,92865,77.0,,13222.60739,175553,東淀川区,89067,86397,175464,13.27
814,2016-03-01,39713,21.0,,17732.81938,80517,東成区,41980,38527,80507,4.54
815,2016-03-01,63590,-21.0,,15496.89367,129816,生野区,67240,62469,129709,8.37
816,2016-03-01,43573,-27.0,,14468.67089,91510,旭区,47814,43628,91442,6.32
817,2016-03-01,76760,28.0,,19684.72554,164986,城東区,86380,78578,164958,8.38
818,2016-03-01,46390,26.0,,13645.53244,111494,鶴見区,58081,53403,111484,8.17
819,2016-03-01,50321,32.0,,18070.73579,108020,阿倍野区,58242,49821,108063,5.98
820,2016-03-01,56979,28.0,,5948.131975,122645,住之江区,63667,58924,122591,20.61
821,2016-03-01,71506,-37.0,,16350.53191,153815,住吉区,81926,71769,153695,9.4
822,2016-03-01,57827,-28.0,,12937.23077,126192,東住吉区,66629,59509,126138,9.75
823,2016-03-01,89085,18.0,,12849.21466,196460,平野区,103260,93076,196336,15.28
824,2016-03-01,68968,-113.0,,15097.2863,111456,西成区,46994,64273,111267,7.37
825,2016-02-01,1357787,224.0,,11958.62084,2693239,大阪市,1389911,1303290,2693201,225.21
826,2016-02-01,74617,153.0,,12038.87814,124200,北区,64261,60221,124482,10.34
827,2016-02-01,51647,43.0,,17224.67105,104698,都島区,54185,50541,104726,6.08
828,2016-02-01,37631,42.0,,15560.38544,72644,福島区,38438,34229,72667,4.67
