,area,total,men,women,household,date
147,東住吉区,131053,62078,68975,60175,2010-06-01
148,平野区,199973,95096,104877,86327,2010-06-01
149,西成区,122730,72259,50471,74499,2010-06-01
150,大阪市,2665233,1293871,1371362,1316352,2010-07-01
151,北区,110016,52545,57471,64823,2010-07-01
152,都島区,102644,49533,53111,50015,2010-07-01
153,福島区,66942,31673,35269,34163,2010-07-01
154,此花区,65499,31909,33590,29453,2010-07-01
155,中央区,78020,36562,41458,48713,2010-07-01
156,西区,82669,39116,43553,46987,2010-07-01
157,港区,85038,41825,43213,40707,2010-07-01
158,大正区,69800,34262,35538,30618,2010-07-01
159,天王寺区,69695,32297,37398,34652,2010-07-01
160,浪速区,61558,31248,30310,42103,2010-07-01
161,西淀川区,97579,48351,49228,43589,2010-07-01
162,淀川区,172057,85125,86932,90954,2010-07-01
163,東淀川区,176770,87079,89691,92039,2010-07-01
164,東成区,80257,38406,41851,38871,2010-07-01
165,生野区,134260,64314,69946,62844,2010-07-01
166,旭区,92523,44316,48207,43852,2010-07-01
167,城東区,165909,79513,86396,75985,2010-07-01
168,鶴見区,111125,53283,57842,45220,2010-07-01
169,阿倍野区,106349,48994,57355,49241,2010-07-01
170,住之江区,127440,61114,66326,56602,2010-07-01
171,住吉区,155685,73195,82490,73915,2010-07-01
172,東住吉区,130962,62018,68944,60143,2010-07-01
173,平野区,199906,95030,104876,86341,2010-07-01
174,西成区,122530,72163,50367,74522,2010-07-01
175,大阪市,2665515,1294101,1371414,1317058,2010-08-01
176,北区,110154,52635,57519,64951,2010-08-01
177,都島区,102648,49539,53109,50041,2010-08-01
178,福島区,67051,31716,35335,34246,2010-08-01
179,此花区,65533,31909,33624,29472,2010-08-01
180,中央区,78236,36673,41563,48825,2010-08-01
181,西区,82866,39217,43649,47075,2010-08-01
182,港区,85056,41849,43207,40731,2010-08-01
183,大正区,69713,34227,35486,30594,2010-08-01
184,天王寺区,69669,32287,37382,34657,2010-08-01
185,浪速区,61775,31343,30432,42264,2010-08-01
186,西淀川区,97591,48368,49223,43614,2010-08-01
187,淀川区,172082,85125,86957,91043,2010-08-01
188,東淀川区,176706,87007,89699,92037,2010-08-01
189,東成区,80257,38420,41837,38872,2010-08-01
190,生野区,134171,64263,69908,62804,2010-08-01
191,旭区,92463,44287,48176,43829,2010-08-01
192,城東区,165893,79551,86342,76013,2010-08-01
193,鶴見区,111084,53253,57831,45171,2010-08-01
194,阿倍野区,106345,48997,57348,49272,2010-08-01
195,住之江区,127443,61113,66330,56631,2010-08-01
196,住吉区,155641,73194,82447,73881,2010-08-01
197,東住吉区,130896,62014,68882,60115,2010-08-01
198,平野区,199904,95032,104872,86383,2010-08-01
199,西成区,122338,72082,50256,74537,2010-08-01
200,大阪市,2665777,1294245,1371532,1317768,2010-09-01
201,北区,110310,52717,57593,65100,2010-09-01
202,都島区,102663,49547,53116,50077,2010-09-01
203,福島区,67215,31799,35416,34342,2010-09-01
204,此花区,65584,31973,33611,29486,2010-09-01
205,中央区,78474,36793,41681,48951,2010-09-01
206,西区,83019,39308,43711,47125,2010-09-01
207,港区,84981,41789,43192,40713,2010-09-01
208,大正区,69632,34200,35432,30558,2010-09-01
209,天王寺区,69734,32322,37412,34707,2010-09-01
210,浪速区,61838,31366,30472,42304,2010-09-01
211,西淀川区,97549,48334,49215,43597,2010-09-01
212,淀川区,172142,85118,87024,91145,2010-09-01
213,東淀川区,176570,86972,89598,92020,2010-09-01
214,東成区,80257,38437,41820,38896,2010-09-01
215,生野区,134065,64209,69856,62805,2010-09-01
216,旭区,92464,44292,48172,43822,2010-09-01
217,城東区,165870,79522,86348,76035,2010-09-01
218,鶴見区,111140,53282,57858,45216,2010-09-01
219,阿倍野区,106373,49019,57354,49290,2010-09-01
220,住之江区,127316,61059,66257,56616,2010-09-01
221,住吉区,155667,73222,82445,73913,2010-09-01
222,東住吉区,130818,61953,68865,60117,2010-09-01
223,平野区,199912,95019,104893,86432,2010-09-01
224,西成区,122184,71993,50191,74501,2010-09-01
225,大阪市,2665314,1293798,1371516,1317990,2010-10-01
226,北区,110392,52754,57638,65204,2010-10-01
227,都島区,102632,49534,53098,50075,2010-10-01
228,福島区,67290,31818,35472,34379,2010-10-01
229,此花区,65569,31949,33620,29495,2010-10-01
230,中央区,78687,36885,41802,49062,2010-10-01
231,西区,83058,39283,43775,47073,2010-10-01
232,港区,84947,41761,43186,40713,2010-10-01
233,大正区,69510,34147,35363,30521,2010-10-01
234,天王寺区,69775,32307,37468,34730,2010-10-01
235,浪速区,61745,31306,30439,42392,2010-10-01
236,西淀川区,97504,48303,49201,43608,2010-10-01
237,淀川区,172078,85078,87000,91116,2010-10-01
238,東淀川区,176585,86952,89633,91894,2010-10-01
239,東成区,80231,38410,41821,38920,2010-10-01
240,生野区,134009,64191,69818,62808,2010-10-01
241,旭区,92455,44289,48166,43842,2010-10-01
242,城東区,165832,79519,86313,76043,2010-10-01
243,鶴見区,111182,53279,57903,45264,2010-10-01
244,阿倍野区,106350,49015,57335,49318,2010-10-01
245,住之江区,127210,61007,66203,56593,2010-10-01
246,住吉区,155572,73145,82427,73917,2010-10-01
247,東住吉区,130724,61923,68801,60057,2010-10-01
248,平野区,200005,95072,104933,86500,2010-10-01
249,西成区,121972,71871,50101,74466,2010-10-01
250,大阪市,2665914,1294085,1371829,1318226,2010-11-01
251,北区,110636,52916,57720,65343,2010-11-01
252,都島区,102695,49599,53096,50093,2010-11-01
253,福島区,67388,31862,35526,34405,2010-11-01
254,此花区,65612,31973,33639,29498,2010-11-01
255,中央区,78810,36935,41875,49152,2010-11-01
256,西区,83225,39346,43879,47126,2010-11-01
257,港区,84899,41764,43135,40700,2010-11-01
258,大正区,69435,34117,35318,30495,2010-11-01
259,天王寺区,69868,32342,37526,34752,2010-11-01
260,浪速区,61851,31357,30494,42440,2010-11-01
261,西淀川区,97509,48301,49208,43596,2010-11-01
262,淀川区,172093,85063,87030,91129,2010-11-01
263,東淀川区,176563,86933,89630,91866,2010-11-01
264,東成区,80196,38401,41795,38893,2010-11-01
265,生野区,133914,64169,69745,62810,2010-11-01
266,旭区,92474,44296,48178,43868,2010-11-01
267,城東区,165838,79525,86313,76003,2010-11-01
268,鶴見区,111150,53272,57878,45251,2010-11-01
269,阿倍野区,106382,49016,57366,49302,2010-11-01
270,住之江区,127198,60999,66199,56622,2010-11-01
271,住吉区,155542,73119,82423,73907,2010-11-01
272,東住吉区,130651,61865,68786,59984,2010-11-01
273,平野区,200069,95103,104966,86562,2010-11-01
274,西成区,121916,71812,50104,74429,2010-11-01
275,大阪市,2665362,1293770,1371592,1318157,2010-12-01
276,北区,110683,52971,57712,65342,2010-12-01
277,都島区,102815,49649,53166,50160,2010-12-01
278,福島区,67453,31890,35563,34437,2010-12-01
279,此花区,65637,31981,33656,29499,2010-12-01
280,中央区,78760,36892,41868,49179,2010-12-01
281,西区,83372,39418,43954,47193,2010-12-01
282,港区,84858,41725,43133,40707,2010-12-01
283,大正区,69359,34073,35286,30457,2010-12-01
284,天王寺区,69947,32390,37557,34799,2010-12-01
285,浪速区,61884,31373,30511,42490,2010-12-01
286,西淀川区,97531,48319,49212,43579,2010-12-01
287,淀川区,172148,85103,87045,91117,2010-12-01
288,東淀川区,176436,86832,89604,91726,2010-12-01
289,東成区,80081,38349,41732,38857,2010-12-01
290,生野区,133746,64105,69641,62812,2010-12-01
291,旭区,92439,44268,48171,43851,2010-12-01
292,城東区,165739,79476,86263,75967,2010-12-01
293,鶴見区,111132,53266,57866,45251,2010-12-01
294,阿倍野区,106426,49046,57380,49300,2010-12-01
295,住之江区,127174,60984,66190,56643,2010-12-01
296,住吉区,155477,73109,82368,73892,2010-12-01
297,東住吉区,130543,61804,68739,59918,2010-12-01
298,平野区,199983,95067,104916,86588,2010-12-01
299,西成区,121739,71680,50059,74393,2010-12-01
